distance_from_peak_center_bp	distance_from_peak_center_mb	methylation_H3K27ac_peaks	support_H3K27ac_peaks	bootstrap_mean	bootstrap_std
-487300	-0.4873	0.7861021222969046	28	0.7088688418245782	0.07898270063811716
-487200	-0.4872	0.785957698622999	23	0.6977057526591418	0.07204559449599537
-487100	-0.4871	0.8059161590607951	32	0.7276611313990239	0.100251226800051
-487000	-0.487	0.8035080617630092	31	0.7350861246115382	0.06694832848777603
-486900	-0.4869	0.7924115322059149	27	0.7585756759559074	0.07072997665422157
-486800	-0.4868	0.8161309715090705	30	0.7303967050255251	0.06993036923610167
-486700	-0.4867	0.7949199292390348	32	0.756650756242659	0.04774600193131183
-486600	-0.4866	0.8029112805824287	24	0.7143186444532146	0.07762648308161554
-486500	-0.4865	0.8340199319111536	26	0.7025532319753485	0.06910728530459001
-486400	-0.4864	0.7583154626366032	31	0.7661902000005945	0.05775156488242701
-486300	-0.4863	0.7880583861712311	35	0.6792494562434042	0.11497020032601876
-486200	-0.4862	0.8144570254234207	33	0.7270613917913119	0.05810300651550952
-486100	-0.4861	0.7606566201124428	26	0.7269719076212837	0.07285484909229975
-486000	-0.486	0.7990505513673698	34	0.7110340763160863	0.04064525764058403
-485900	-0.4859	0.7254820738165443	32	0.6459147247572155	0.07590926402949326
-485800	-0.4858	0.7466311888523898	31	0.6909539335046381	0.07882101298829775
-485700	-0.4857	0.6836867566183151	34	0.6677540944175737	0.06463235830830061
-485600	-0.4856	0.8000379911824403	29	0.7100556429315671	0.018859110300245327
-485500	-0.4855	0.8463885954087469	30	0.7211956637951078	0.04937919682291616
-485400	-0.4854	0.8173175039691416	31	0.7597748866454269	0.09167099445395685
-485300	-0.4853	0.7201726432192677	31	0.7202299211972493	0.05823363762912919
-485200	-0.4852	0.7626450333890765	30	0.7415938923131934	0.04981175657256182
-485100	-0.4851	0.8164324680231355	36	0.7524370465158124	0.06824409593903788
-485000	-0.485	0.8022673282543417	35	0.7265265723070776	0.030267979501220996
-484900	-0.4849	0.8389829513660413	34	0.7490717911415793	0.0396416232523385
-484800	-0.4848	0.7799410871363512	28	0.7323606461509108	0.03076515106988168
-484700	-0.4847	0.7683742482581515	31	0.7596580098296098	0.02106895692579
-484600	-0.4846	0.7631460202536057	33	0.722761694630136	0.056476596895717185
-484500	-0.4845	0.7712212985270074	35	0.7400715844428086	0.0352193285585948
-484400	-0.4844	0.7900818683759567	31	0.7224522165567995	0.032286465533061574
-484300	-0.4843	0.7784687362204749	27	0.6961781225889524	0.061555390263192504
-484200	-0.4842	0.7658370143675283	31	0.741394720554369	0.052406053632479244
-484100	-0.4841	0.7950570146745678	33	0.6832512666728213	0.07753876596090394
-484000	-0.484	0.8040526899177556	33	0.6994660725977158	0.0729035859569872
-483900	-0.4839	0.7758662073428242	33	0.6995698639422768	0.050915820936108705
-483800	-0.4838	0.774162499505966	29	0.6805818238306458	0.08486470030034961
-483700	-0.4837	0.7522350143459264	29	0.7085178410432633	0.09230859651691928
-483600	-0.4836	0.8062476381711824	28	0.6750830161483932	0.18453235092695836
-483500	-0.4835	0.7935559803071192	28	0.6515084105735569	0.07243222005095439
-483400	-0.4834	0.786447599291415	29	0.6009831322955581	0.09763063347383007
-483300	-0.4833	0.8225307421722784	30	0.6521557906452222	0.13390664907271338
-483200	-0.4832	0.8572436861089625	30	0.6594788474146556	0.06566714873264483
-483100	-0.4831	0.8665865667723743	27	0.7075614121110456	0.101214402615752
-483000	-0.483	0.797439805771556	32	0.6723420466732272	0.0885759311369933
-482900	-0.4829	0.8238889829489204	28	0.7358693858666563	0.0955889761387687
-482800	-0.4828	0.7975768117863444	35	0.7134120279285479	0.06020060050672532
-482700	-0.4827	0.7956500856748254	29	0.6861677379220501	0.08208248461048144
-482600	-0.4826	0.8283341875409149	31	0.6488666053253933	0.08571458626340338
-482500	-0.4825	0.7451147400350285	35	0.7003284535947826	0.06285175415127563
-482400	-0.4824	0.7873549673969928	32	0.6865790511960489	0.06705834060584394
-482300	-0.4823	0.6864205392334687	25	0.6740248745198973	0.09768049616235291
